어휘,품사,레벨
일석이조,명사,4급
일손,명사,4급
일시03,명사,4급
일시불,명사,4급
일시적01∙ 일시적02,관형사∙ 명사,4급
일쑤/일쑤00,명사/부사,4급
일으키다,동사,4급
일일이,부사,4급
일종,명사,4급
일찍이,부사,4급
일체02/일체01,부사/명사,4급
일치,명사,4급
일회용,명사,4급
일회용품,명사,4급
읽히다01,동사,4급
읽히다02,동사,4급
임금02,명사,4급
임무,명사,4급
임시,명사,4급
임신,명사,4급
입금,명사,4급
입대,명사,4급
입력,명사,4급
입사,명사,4급
입시,명사,4급
입장01,명사,4급
입장02,명사,4급
입히다,동사,4급
잇따르다,동사,4급
잊히다,동사,4급
-자06,접사,4급
자격증,명사,4급
자극,명사,4급
자꾸만,부사,4급
자라나다,동사,4급
자랑스럽다,형용사,4급
자막,명사,4급
자본,명사,4급
자부심,명사,4급
자살,명사,4급
자세,명사,4급
자신감,명사,4급
자연스럽다,형용사,4급
자연적01∙ 자연적02,관형사∙ 명사,4급
자연환경,명사,4급
자연히,부사,4급
자원,명사,4급
자존심,명사,4급
자취00,명사,4급
작가,명사,4급
작곡,명사,4급
작곡가,명사,4급
작동,명사,4급
작문,명사,4급
작업,명사,4급
작용,명사,4급
작전,명사,4급
작품,명사,4급
잔뜩,부사,4급
잔소리,명사,4급
잘나다,형용사,4급
잘리다,동사,4급
잘살다,동사,4급
잠기다02,동사,4급
잠들다,동사,4급
잠자리02,명사,4급
잡아당기다,동사,4급
장가,명사,4급
장관02,명사,4급
장기간,명사,4급
장기적01∙ 장기적02,관형사∙ 명사,4급
장난,명사,4급
장남,명사,4급
장르,명사,4급
장모,명사,4급
장사01,명사,4급
장애,명사,4급
장애인,명사,4급
장인,명사,4급
장하다,형용사,4급
재-01,접사,4급
재능,명사,4급
재떨이,명사,4급
재빨리,부사,4급
재산,명사,4급
재생,명사,4급
재수02,명사,4급
재우다02,동사,4급
재작년,명사,4급
재주,명사,4급
재판02,명사,4급
재학생,명사,4급
재활용품,명사,4급
저-01,접사,4급
저급,명사,4급
저리01,부사,4급
저마다01/ 저마다02,부사/명사,4급
저만큼01/ 저만큼02,부사/명사,4급
저장,명사,4급
저절로,부사,4급
저지르다,동사,4급
적02,명사,4급
적극,명사,4급
적극적01∙ 적극적02,관형사∙ 명사,4급
적당히,부사,4급
적성,명사,4급
적어지다,동사,4급
적용,명사,4급
적자01,명사,4급
적절하다,형용사,4급
전개,명사,4급
전문적01∙ 전문적02,관형사∙ 명사,4급
전문직,명사,4급
전시장,명사,4급
전제,명사,4급
전체적01∙ 전체적02,관형사∙ 명사,4급
전후,명사,4급
절대적01∙ 절대적02,관형사∙ 명사,4급
절망,명사,4급
절반,명사,4급
절차,명사,4급
젊음,명사,4급
점검,명사,4급
점심때,명사,4급
점잖다,형용사,4급
접근,명사,4급
접속,명사,4급
접어들다,동사,4급
접촉,명사,4급
접하다,동사,4급
정기01,명사,4급
정기적01∙ 정기적02,관형사∙ 명사,4급
정당,명사,4급
정면,명사,4급
정반대,명사,4급
정보화,명사,4급
정부01,명사,4급
정상01,명사,4급
정상적01∙ 정상적02,관형사∙ 명사,4급
정성,명사,4급
정식01,명사,4급
정신적01∙ 정신적02,관형사∙ 명사,4급
정의02,명사,4급
정작00,부사,4급
정지01,명사,4급
정직01,명사,4급
정착,명사,4급
정책,명사,4급
정치인,명사,4급
정치적01∙ 정치적02,관형사∙ 명사,4급
젖,명사,4급
-제02,접사,4급
-제04,접사,4급
제거,명사,4급
제도01,명사,4급
제때,명사,4급
제발,부사,4급
제법,부사,4급
제사,명사,4급
제시,명사,4급
제약01,명사,4급
제외,명사,4급
제자,명사,4급
제자리,명사,4급
제작,명사,4급
제한,명사,4급
조03·조02,수사·관형사,4급
조각01,명사,4급
조그맣다,형용사,4급
조기05,명사,4급
조르다02,동사,4급
조림01,명사,4급
조명,명사,4급
조심스럽다,형용사,4급
조작01,명사,4급
조절,명사,4급
조정02,명사,4급
조화04,명사,4급
존재,명사,4급
존중,명사,4급
졸음,명사,4급
좀처럼,부사,4급
좁히다,동사,4급
종교적01· 종교적02,관형사∙ 명사,4급
종아리,명사,4급
종종,부사,4급
좌우,명사,4급
죄,명사,4급
주관적01∙ 주관적02,관형사∙ 명사,4급
주름,명사,4급
주먹,명사,4급
주목,명사,4급
주식02,명사,4급
주어지다,동사,4급
주장02,명사,4급
주저앉다,동사,4급
주전자,명사,4급
주택,명사,4급
줄거리,명사,4급
줄곧,부사,4급
줄기,명사,4급
줄어들다,동사,4급
중독,명사,4급
중반,명사,4급
중소기업,명사,4급
중얼거리다,동사,4급
중요성,명사,4급
쥐다,동사,4급
즉석,명사,4급
증거,명사,4급
증명,명사,4급
지겹다,형용사,4급
지구02,명사,4급
지극히,부사,4급
지금껏,부사,4급
지급,명사,4급
지능,명사,4급
지니다,동사,4급
지다05,동사,4급
지도자,명사,4급
지름길,명사,4급
지불,명사,4급
지시,명사,4급
지식,명사,4급
지식인,명사,4급
지옥,명사,4급
지원01,명사,4급
지위,명사,4급
지적03,명사,4급
지정,명사,4급
지진,명사,4급
지출,명사,4급
지치다01,동사,4급
지켜보다,동사,4급
지폐,명사,4급
지하실,명사,4급
지혜,명사,4급
지혜롭다,형용사,4급
직선01,명사,4급
직접적01∙ 직접적02,관형사∙ 명사,4급
직후,명사,4급
진단,명사,4급
진동02,명사,4급
진로,명사,4급
진리,명사,4급
진술,명사,4급
진실,명사,4급
진정하다01,형용사,4급
진지하다,형용사,4급
진출,명사,4급
-질,접사,4급
질병,명사,4급
질서,명사,4급
질투,명사,4급
짐승,명사,4급
짐작,명사,4급
집단,명사,4급
집어넣다,동사,4급
집중적01∙ 집중적02,관형사∙ 명사,4급
짓,명사,4급
짖다,동사,4급
짙다,형용사,4급
짚다,동사,4급
짜증스럽다,형용사,4급
짝수,명사,4급
짠맛,명사,4급
-째02,접사,4급
쪽04/쪽03,의존명사/명사,4급
쫓겨나다,동사,4급
쫓기다,동사,4급
쫓다,동사,4급
쫓아가다,동사,4급
쫓아내다,동사,4급
쫓아다니다,동사,4급
쫓아오다,동사,4급
찌푸리다,동사,4급
찍다01,동사,4급
찍히다02,동사,4급
찡그리다,동사,4급
차도01,명사,4급
차라리,부사,4급
차마,부사,4급
차별,명사,4급
차비,명사,4급
차선02,명사,4급
차원,명사,4급
차차,부사,4급
차창,명사,4급
차츰,부사,4급
착각,명사,4급
참석자,명사,4급
참여,명사,4급
참으로,부사,4급
참조,명사,4급
창작,명사,4급
창조,명사,4급
찾아내다,동사,4급
찾아다니다,동사,4급
찾아뵙다,동사,4급
채널,명사,4급
채우다01,동사,4급
채택,명사,4급
책임,명사,4급
책임감,명사,4급
책임자,명사,4급
책임지다,동사,4급
챔피언,명사,4급
처리,명사,4급
처벌,명사,4급
처하다,동사,4급
천국,명사,4급
천주교,명사,4급
철02,명사,4급
철저히,부사,4급
첨부,명사,4급
첫사랑,명사,4급
청하다,동사,4급
체계,명사,4급
체면,명사,4급
체온,명사,4급
체조,명사,4급
체중,명사,4급
초-01,접사,4급
초가을,명사,4급
초겨울,명사,4급
초기,명사,4급
초반,명사,4급
초보,명사,4급
초보자,명사,4급
초봄,명사,4급
초승달,명사,4급
초여름,명사,4급
초저녁,명사,4급
초점,명사,4급
초조,명사,4급
초청,명사,4급
초청장,명사,4급
총02,관형사,4급
총리,명사,4급
최대,명사,4급
최대한00,부사,4급
최소01,명사,4급
최소한00,부사,4급
최신,명사,4급
최종,명사,4급
최초,명사,4급
추가,명사,4급
추위,명사,4급
추진,명사,4급
추천서,명사,4급
축소,명사,4급
출근길,명사,4급
출산,명사,4급
출신,명사,4급
출연02,명사,4급
출판,명사,4급
출현,명사,4급
충격,명사,4급
충격적01∙ 충격적02,관형사∙ 명사,4급
충고,명사,4급
충돌,명사,4급
취업,명사,4급
취재,명사,4급
측,의존명사,4급
측면,명사,4급
치다01,동사,4급
치다04,동사,4급
친아들,명사,4급
친아버지,명사,4급
친어머니,명사,4급
친언니,명사,4급
친오빠,명사,4급
친정,명사,4급
침,명사,4급
침묵,명사,4급
캄캄하다,형용사,4급
캠페인,명사,4급
커다랗다,형용사,4급
커트,명사,4급
콩나물,명사,4급
쾌적하다,형용사,4급
쿨쿨,부사,4급
쿵,부사,4급
크림,명사,4급
큰돈,명사,4급
큰딸,명사,4급
큰아들,명사,4급
큰일01,명사,4급
큰집,명사,4급
키04,명사,4급
타고나다,동사,4급
타다04,동사,4급
타다06,동사,4급
타오르다,동사,4급
타인,명사,4급
탄생,명사,4급
탈출,명사,4급
탑,명사,4급
태양,명사,4급
태우다01,동사,4급
택하다,동사,4급
탤런트,명사,4급
터널,명사,4급
터지다,동사,4급
턱01,명사,4급
텅,부사,4급
테스트01,명사,4급
토의,명사,4급
통계,명사,4급
통과,명사,4급
통증,명사,4급
통행,명사,4급
퇴직,명사,4급
투자,명사,4급
투표,명사,4급
특수01,명사,4급
특정,명사,4급
틀림없다,형용사,4급
틈01/틈02,명사/의존명사,4급
파괴,명사,4급
파트너,명사,4급
판단,명사,4급
판매자,명사,4급
판사,명사,4급
팔꿈치,명사,4급
패스트푸드,명사,4급
팬01,명사,4급
퍼지다,동사,4급
퍽02,부사,4급
펴내다,동사,4급
편견,명사,4급
편의,명사,4급
편히,부사,4급
펼쳐지다,동사,4급
펼치다,동사,4급
평02,명사,4급
평균,명사,4급
평등,명사,4급
평범하다,형용사,4급
평상시,명사,4급
평생,명사,4급
평화,명사,4급
평화롭다,형용사,4급
폐지,명사,4급
포근하다,형용사,4급
포장지,명사,4급
폭넓다,형용사,4급
폭력,명사,4급
폭발01,명사,4급
폭설,명사,4급
폭우,명사,4급
표면,명사,4급
표준,명사,4급
표준어,명사,4급
표지01,명사,4급
푸다,동사,4급
풀02,명사,4급
풀어지다,동사,4급
-품,접사,4급
품01,명사,4급
품다,동사,4급
풍기다,동사,4급
풍부하다,형용사,4급
풍속01,명사,4급
프로01,명사,4급
필기,명사,4급
필수02,명사,4급
필수적01∙ 필수적02,관형사∙ 명사,4급
필수품,명사,4급
필요성,명사,4급
핑계,명사,4급
하03,명사,4급
하긴,부사,4급
하느님,명사,4급
하도,부사,4급
하여튼,부사,4급
학력02,명사,4급
학문,명사,4급
학부모,명사,4급
학비,명사,4급
학용품,명사,4급
한02,명사,4급
한03,명사,4급
한가운데,명사,4급
한겨울,명사,4급
한결,부사,4급
한계,명사,4급
한국적01∙ 한국적02,관형사∙ 명사,4급
한꺼번에,부사,4급
한낮,명사,4급
한눈,명사,4급
한둘,수사,4급
한마디,명사,4급
한밤중,명사,4급
한순간,명사,4급
한여름,명사,4급
한창02/한창01,부사/명사,4급
한층,부사,4급
한편,명사,4급
할부,명사,4급
함부로,부사,4급
합격자,명사,4급
합리적01∙ 합리적02,관형사∙ 명사,4급
합의,명사,4급
합하다,동사,4급
항의,명사,4급
해03,명사,4급
해결책,명사,4급
해내다,동사,4급
해당,명사,4급
해롭다,형용사,4급
해방,명사,4급
해석,명사,4급
해설,명사,4급
해소,명사,4급
해안,명사,4급
해치다,동사,4급
핵심,명사,4급
햇살,명사,4급
행사02,명사,4급
행위,명사,4급
행정,명사,4급
행하다,동사,4급
향,명사,4급
향기,명사,4급
향상,명사,4급
허가,명사,4급
허용,명사,4급
허허,부사,4급
헌,관형사,4급
험하다,형용사,4급
헤매다,동사,4급
헤아리다,동사,4급
헤엄치다,동사,4급
현대인,명사,4급
현대적01∙ 현대적02,관형사∙ 명사,4급
현상02,명사,4급
현실,명사,4급
현실적01∙ 현실적02,관형사∙ 명사,4급
현장,명사,4급
협력,명사,4급
협조01,명사,4급
-형02,접사,4급
형님,명사,4급
형성,명사,4급
형식01,명사,4급
형편,명사,4급
혜택,명사,4급
호감,명사,4급
호기심,명사,4급
호주머니,명사,4급
호흡,명사,4급
혼내다,동사,4급
홀수,명사,4급
홍보,명사,4급
홍수,명사,4급
-화01,접사,4급
화장지,명사,4급
화제,명사,4급
화창하다,형용사,4급
확,부사,4급
확대02,명사,4급
확보,명사,4급
확산,명사,4급
확신,명사,4급
확실하다,형용사,4급
확실히,부사,4급
확장,명사,4급
환경,명사,4급
환상,명사,4급
활기,명사,4급
활동적01∙ 활동적02,관형사∙ 명사,4급
활발히,부사,4급
활용,명사,4급
회담,명사,4급
회복,명사,4급
회화01,명사,4급
효과적01∙ 효과적02,관형사∙ 명사,4급
효도,명사,4급
효율적01∙ 효율적02,관형사∙ 명사,4급
효자,명사,4급
후보,명사,4급
후회스럽다,형용사,4급
훈련,명사,4급
훔치다02,동사,4급
휴양지,명사,4급
흉내,명사,4급
흐름,명사,4급
흑백,명사,4급
흔들리다,동사,4급
흔적,명사,4급
흔하다,형용사,4급
흔히,부사,4급
흘러나오다,동사,4급
흘러내리다,동사,4급
흙,명사,4급
흡수,명사,4급
흥미,명사,4급
흥미롭다,형용사,4급
흥분,명사,4급
흩어지다,동사,4급
힘껏,부사,4급
힘쓰다,동사,4급
힘없이,부사,4급
힘차다,형용사,4급
가01,명사,5급
-가04,접사,5급
-가06,접사,5급
가곡,명사,5급
가공01,명사,5급
가구01,명사,5급
가급적01/ 가급적02,명사/부사,5급
가느다랗다,형용사,5급
가닥,명사,5급
가로수,명사,5급
가리다01,동사,5급
가면,명사,5급
가문,명사,5급
가부장적01∙가부장 적02,관형사∙ 명사,5급
가사01,명사,5급
가속화,명사,5급
가시01,명사,5급
가시다,동사,5급
가야금,명사,5급
가옥,명사,5급
가요계,명사,5급
가장자리,명사,5급
가중,명사,5급
가지런히,부사,5급
가창력,명사,5급
가축,명사,5급
가해자,명사,5급
각광,명사,5급
각지,명사,5급
간간이,부사,5급
간결하다,형용사,5급
간소하다,형용사,5급
간절히,부사,5급
간접,명사,5급
간직00,명사,5급
갈다02,동사,5급
갈대,명사,5급
감격,명사,5급
감기다02,동사,5급
감미롭다,형용사,5급
감사03,명사,5급
감상01,명사,5급
감상적01∙ 감상적02,관형사∙ 명사,5급
감성,명사,5급
감성적01∙ 감성적02,관형사∙ 명사,5급
감염,명사,5급
감정적01∙ 감정적02,관형사∙ 명사,5급
감탄,명사,5급
감탄사,명사,5급
갑01,명사,5급
갑갑하다,형용사,5급
값지다,형용사,5급
강국,명사,5급
강당,명사,5급
강대국,명사,5급
강도02,명사,5급
강력00,명사,5급
강력히,부사,5급
강렬하다,형용사,5급
강산01,명사,5급
강연,명사,5급
강우량,명사,5급
강자,명사,5급
강좌,명사,5급
강풍,명사,5급
강화,명사,5급
갖은,관형사,5급
개강,명사,5급
개개인,명사,5급
개국01,의존명사,5급
개막식,명사,5급
개방적01∙ 개방적02,관형사∙ 명사,5급
개봉,명사,5급
개설,명사,5급
개수,명사,5급
개업,명사,5급
개요,명사,5급
개인주의,명사,5급
개장,명사,5급
개조01,명사,5급
개척,명사,5급
개통,명사,5급
객석,명사,5급
객실,명사,5급
거느리다,동사,5급
거닐다,동사,5급
거리02,의존명사,5급
거만,명사,5급
거부02,명사,5급
거세다,형용사,5급
거액,명사,5급
거인,명사,5급
거주,명사,5급
거주자,명사,5급
걱정거리,명사,5급
건00/건01,명사/의존명사,5급
건국,명사,5급
건기,명사,5급
건망증,명사,5급
건설업,명사,5급
건수,명사,5급
건의,명사,5급
건축가,명사,5급
건축물,명사,5급
걷어차다,동사,5급
걸음걸이,명사,5급
검,명사,5급
검진,명사,5급
겁내다,동사,5급
겉보기,명사,5급
겨드랑이,명사,5급
겨를,의존명사,5급
격01/격02,명사/의존명사,5급
격렬하다,형용사,5급
격식,명사,5급
결말,명사,5급
결별,명사,5급
결승전,명사,5급
결실,명사,5급
결재,명사,5급
결정적01∙ 결정적02,관형사∙ 명사,5급
겸,의존명사,5급
겸하다,동사,5급
겹,명사,5급
-경01,접사,5급
경과,명사,5급
경비02,명사,5급
경솔하다,형용사,5급
경영자,명사,5급
경영학,명사,5급
경위02,명사,5급
경쟁률,명사,5급
경쟁적01∙ 경쟁적02,관형사∙ 명사,5급
경제학,명사,5급
경조사,명사,5급
경주02,명사,5급
경찰청,명사,5급
경쾌하다,형용사,5급
경품,명사,5급
경험담,명사,5급
경호,명사,5급
계00,명사,5급
-계04,접사,5급
계급,명사,5급
계발,명사,5급
계열,명사,5급
계획적01∙ 계획적02,관형사∙ 명사,5급
고00,명사,5급
고02,관형사,5급
고-02,접사,5급
고가품,명사,5급
고개02,명사,5급
고교생,명사,5급
고구려,명사,5급
고기압,명사,5급
고단하다,형용사,5급
고도00,명사,5급
고려02,명사,5급
고르다03,형용사,5급
고리01,명사,5급
고발,명사,5급
고상하다,형용사,5급
고생스럽다,형용사,5급
고소01,명사,5급
고아,명사,5급
고아원,명사,5급
고온,명사,5급
고원,명사,5급
고이다,동사,5급
고작01/고작02,명사/부사,5급
고졸,명사,5급
고지서,명사,5급
고체,명사,5급
고학력,명사,5급
고혈압,명사,5급
곡물,명사,5급
곡선,명사,5급
곤충,명사,5급
골동품,명사,5급
골치,명사,5급
곱슬머리,명사,5급
공00,명사,5급
공감대,명사,5급
공경,명사,5급
공고02,명사,5급
공고문,명사,5급
공공시설,명사,5급
공교육,명사,5급
공군,명사,5급
공룡,명사,5급
공문,명사,5급
공사장,명사,5급
공상,명사,5급
공식적01∙ 공식적02,관형사∙ 명사,5급
공예,명사,5급
공유02,명사,5급
공익01,명사,5급
공중01,명사,5급
공중02,명사,5급
공통적01∙ 공통적02,관형사∙ 명사,5급
공평하다,형용사,5급
공포감,명사,5급
공학01,명사,5급
-과,접사,5급
과01,명사,5급
과감하다,형용사,5급
과대평가,명사,5급
과도하다,형용사,5급
과반수,명사,5급
과보호,명사,5급
과소평가,명사,5급
과언,명사,5급
과음,명사,5급
과정02,명사,5급
과하다01,형용사,5급
-관01,접사,5급
관공서,명사,5급
관대하다02,형용사,5급
관련짓다,동사,5급
관습,명사,5급
관용03,명사,5급
관용어,명사,5급
관중,명사,5급
관청,명사,5급
관하다,동사,5급
관형사,명사,5급
광장,명사,5급
괴물,명사,5급
교과,명사,5급
교도소,명사,5급
교무실,명사,5급
교원,명사,5급
교육부,명사,5급
교육열,명사,5급
교육적01∙ 교육적02,관형사∙ 명사,5급
교제,명사,5급
교직,명사,5급
교훈적01∙ 교훈적02,관형사∙ 명사,5급
구간01,명사,5급
구겨지다,동사,5급
구경꾼,명사,5급
구급차,명사,5급
구내식당,명사,5급
구독,명사,5급
구두02,명사,5급
구두쇠,명사,5급
구르다02,동사,5급
구매자,명사,5급
구박,명사,5급
구비02,명사,5급
구사,명사,5급
구상02,명사,5급
구석구석,명사,5급
구성원,명사,5급
구애02,명사,5급
구인01,명사,5급
구직,명사,5급
구직난00,명사,5급
구직자00,명사,5급
구청,명사,5급
-국01,접사,5급
-국02,접사,5급
국도,명사,5급
국방부,명사,5급
국세청,명사,5급
국악,명사,5급
국익,명사,5급
국토,명사,5급
군01/군02,의존명사/대명사,5급
군03,명사,5급
군데군데 01/군데군데02,명사/부사,5급
굳히다,동사,5급
굴뚝,명사,5급
굴러가다,동사,5급
궁02,명사,5급
궁궐,명사,5급
궁금증,명사,5급
궁중,명사,5급
권위적01∙ 권위적02,관형사∙ 명사,5급
귓속말,명사,5급
그때그때00/그때그때,명사/부사,5급
그래야00,줄어든꼴,5급
그리02,부사,5급
그리다01,동사,5급
그리하여,부사,5급
그물,명사,5급
극-,접사,5급
극단적01∙ 극단적02,관형사∙ 명사,5급
극심하다,형용사,5급
근검절약,명사,5급
근로,명사,5급
근사하다,형용사,5급
근원,명사,5급
근황,명사,5급
글쓴이,명사,5급
금01,명사,5급
금기,명사,5급
금리,명사,5급
금메달,명사,5급
금세,부사,5급
금속,명사,5급
금전,명사,5급
급02,명사,5급
급격하다,형용사,5급
급상승,명사,5급
급속도,명사,5급
급식,명사,5급
급여,명사,5급
기01,명사,5급
기03,명사,5급
기04,명사,5급
-기05,접사,5급
기관00,명사,5급
기구02,명사,5급
기내,명사,5급
기대감,명사,5급
기름기,명사,5급
기름지다,형용사,5급
기린,명사,5급
기막히다,형용사,5급
기말,명사,5급
기발하다,형용사,5급
기부금,명사,5급
기상01,명사,5급
기상청,명사,5급
기성세대,명사,5급
기세,명사,5급
기압,명사,5급
기와집,명사,5급
기원01,명사,5급
기원전,명사,5급
기원후,명사,5급
기일02,명사,5급
기점,명사,5급
기증,명사,5급
기체01,명사,5급
기하다,동사,5급
기한,명사,5급
기행문,명사,5급
기호01,명사,5급
기호02,명사,5급
긴장감,명사,5급
김장,명사,5급
깃털,명사,5급
까딱,부사,5급
까치,명사,5급
깜짝하다01,동사,5급
깡충깡충,부사,5급
꺼지다02,동사,5급
꺾이다,동사,5급
껍데기,명사,5급
-께,접사,5급
꼬다,동사,5급
꼬르륵,부사,5급
꼬마,명사,5급
꼬박01,부사,5급
꼬박꼬박,부사,5급
꼭꼭01,부사,5급
-꼴,접사,5급
꼴01,명사,5급
꼴찌,명사,5급
꼼짝없이,부사,5급
꽁꽁,부사,5급
꽃샘추위,명사,5급
꾸벅꾸벅01,부사,5급
꾸짖다,동사,5급
-꾼,접사,5급
꿰매다,동사,5급
끄집어내다,동사,5급
끈기,명사,5급
끊이다,동사,5급
끌어내다,동사,5급
끌어들이다,동사,5급
끌어올리다,동사,5급
끔찍하다,형용사,5급
끝맺다,동사,5급
끝장,명사,5급
끼니,명사,5급
-끼리,접사,5급
나날이,부사,5급
나돌다,동사,5급
나들이,명사,5급
나열,명사,5급
나침반,명사,5급
낙,명사,5급
낙관02,명사,5급
낙관적01∙ 낙관적02,관형사∙ 명사,5급
낙방,명사,5급
낙서,명사,5급
낙심,명사,5급
낙원,명사,5급
낙제,명사,5급
낙천적01∙ 낙천적02,관형사∙ 명사,5급
낚다,동사,5급
낚시터,명사,5급
-난,접사,5급
난01,명사,5급
난간,명사,5급
난치병,명사,5급
날로01,부사,5급
날아들다,동사,5급
날아오르다,동사,5급
남극,명사,5급
남녀노소,명사,5급
남다르다,형용사,5급
남몰래,부사,5급
남색,명사,5급
남아,명사,5급
남짓,의존명사,5급
남한01,명사,5급
남향,명사,5급
납부,명사,5급
납작하다,형용사,5급
납치,명사,5급
낭독,명사,5급
낭만,명사,5급
낭만적01∙ 낭만적02,관형사∙ 명사,5급
낯,명사,5급
낯익다,형용사,5급
낱말,명사,5급
내기,명사,5급
내딛다,동사,5급
내리치다,동사,5급
내면,명사,5급
내뱉다,동사,5급
내보이다02,동사,5급
내복,명사,5급
내비게이션00,명사,5급
내비치다,동사,5급
내쉬다,동사,5급
내역,명사,5급
내오다,동사,5급
내용물,명사,5급
내지르다,동사,5급
냉기,명사,5급
냉대02,명사,5급
너무하다01/너무하다02,동사/형용사,5급
너비,명사,5급
넉,관형사,5급
널뛰기,명사,5급
-네02,접사,5급
네모나다,형용사,5급
네트워크,명사,5급
-녀,접사,5급
년생,의존명사,5급
노년,명사,5급
노동력,명사,5급
노숙자,명사,5급
노예,명사,5급
노을,명사,5급
노처녀,명사,5급
노총각,명사,5급
노출,명사,5급
노화,명사,5급
노후02,명사,5급
논,명사,5급
논문,명사,5급
논밭,명사,5급
논술,명사,5급
놈01/놈02,의존명사/명사,5급
농가,명사,5급
농경,명사,5급
농도,명사,5급
농수산물,명사,5급
농악,명사,5급
농작물,명사,5급
농장,명사,5급
농축산물,명사,5급
놓아주다,동사,5급
누다,동사,5급
누렇다,형용사,5급
누리다01,동사,5급
누전,명사,5급
눈높이,명사,5급
눈발,명사,5급
눈사태,명사,5급
눈살01,명사,5급
눈짓,명사,5급
눈치채다00,동사,5급
눌리다01,동사,5급
뉘우치다,동사,5급
늑대,명사,5급
늘어지다,동사,5급
능동적01∙ 능동적02,관형사∙ 명사,5급
능률,명사,5급
능숙하다,형용사,5급
다-01,접사,5급
다급하다,형용사,5급
다다르다,동사,5급
다다익선,명사,5급
다름없이,부사,5급
다발01,명사,5급
다방면,명사,5급
다스리다,동사,5급
다시다,동사,5급
다양성,명사,5급
다양화,명사,5급
다이빙,명사,5급
다이아몬드,명사,5급
다큐멘터리,명사,5급
닥치다01,동사,5급
-단02,접사,5급
단05,부사,5급
단군,명사,5급
단기간,명사,5급
단락,명사,5급
단말기,명사,5급
단백질,명사,5급
단일,명사,5급
단절,명사,5급
단정,명사,5급
단조롭다,형용사,5급
단축,명사,5급
단합,명사,5급
달다03,동사,5급
달리하다,동사,5급
당구,명사,5급
당국02,명사,5급
당뇨병,명사,5급
당면02,명사,5급
당부,명사,5급
당선,명사,5급
대04,명사,5급
대06/대07,명사/의존명사,5급
대가족,명사,5급
대견하다,형용사,5급
대결,명사,5급
대꾸,명사,5급
대나무,명사,5급
대담02,명사,5급
대대로,부사,5급
대등,명사,5급
대략적01∙ 대략적02,관형사∙ 명사,5급
대륙01,명사,5급
대리점,명사,5급
대머리,명사,5급
대명사,명사,5급
대보름,명사,5급
대본,명사,5급
대상00,명사,5급
대안,명사,5급
대여,명사,5급
대우,명사,5급
대인02,명사,5급
대입01,명사,5급
대장01,명사,5급
대조적01∙ 대조적02,관형사∙ 명사,5급
대졸,줄어든꼴,5급
대중적01∙ 대중적02,관형사∙ 명사,5급
대중화,명사,5급
대체00/대 체01,명사/부사,5급
대추,명사,5급
대피,명사,5급
대형차,명사,5급
댓글00,명사,5급
더듬거리다,동사,5급
더없이,부사,5급
덜하다,형용사,5급
덧나다,동사,5급
데모,명사,5급
도04,명사,5급
도깨비,명사,5급
도끼,명사,5급
도달,명사,5급
도둑맞다,동사,5급
도매02,명사,5급
도박,명사,5급
도보,명사,5급
도시화,명사,5급
도우미,명사,5급
도표,명사,5급
도피,명사,5급
독립적01∙ 독립적02,관형사∙ 명사,5급
독방,명사,5급
독신,명사,5급
독창적01∙ 독창적02,관형사∙ 명사,5급
돋보이다,동사,5급
돋우다,동사,5급
돌이키다,동사,5급
동04,의존명사,5급
동감,명사,5급
동거,명사,5급
동굴,명사,5급
동동02,부사,5급
동문01,명사,5급
동반,명사,5급
동사02,명사,5급
동상02,명사,5급
동서양,명사,5급
동식물,명사,5급
동원,명사,5급
동지02,명사,5급
동행,명사,5급
동향02,명사,5급
동화01,명사,5급
되돌아보다,동사,5급
되묻다,동사,5급
두근거리다,동사,5급
두꺼비,명사,5급
두들기다,동사,5급
두텁다,형용사,5급
둔하다,형용사,5급
뒤덮다,동사,5급
뒤엎다,동사,5급
뒤집어쓰다,동사,5급
뒤집히다,동사,5급
뒤처지다,동사,5급
뒤척이다,동사,5급
뒤풀이,명사,5급
뒤흔들다,동사,5급
뒷걸음,명사,5급
뒷받침,명사,5급
들01,명사,5급
들락거리다,동사,5급
들어앉다,동사,5급
들여오다,동사,5급
들이대다02,동사,5급
들이밀다,동사,5급
들통,명사,5급
들판,명사,5급
듬뿍,부사,5급
등교,명사,5급
등반,명사,5급
등장인물,명사,5급
디디다,동사,5급
따갑다,형용사,5급
따돌림00,명사,5급
따라잡다,동사,5급
따위,의존명사,5급
딱02,부사,5급
딸리다01,동사,5급
때다,동사,5급
때우다,동사,5급
떠내려가다,동사,5급
떠돌다,동사,5급
떠들썩하다01/떠들썩하다02,동사/형용사,5급
떠맡다,동사,5급
떡02,부사,5급
떫다,형용사,5급
떳떳하다,형용사,5급
또래,명사,5급
또렷하다,형용사,5급
똑00,부사,5급
똑똑,부사,5급
뚜렷이,부사,5급
뚝02,부사,5급
뚝뚝01,부사,5급
뛰어오다,동사,5급
뛰쳐나가다,동사,5급
뛰쳐나오다,동사,5급
뜨다03,동사,5급
뜯어보다,동사,5급
뜸하다,형용사,5급
띄우다02,동사,5급
라일락00,명사,5급
라켓,명사,5급
란00,명사,5급
레슬링,명사,5급
레저,명사,5급
-로01,접사,5급
-론,접사,5급
-류02,접사,5급
리더십,명사,5급
리포터,명사,5급
마감,명사,5급
마비,명사,5급
마일리지00,명사,5급
마저,부사,5급
마케팅,명사,5급
